recipe_title,ingredient,,,,,,,,
Chop Chop Salad,1 red grapefruit,,,,,,,,
Chop Chop Salad,"1 cup peeled, chopped jicama",,,,,,,,
Chop Chop Salad,1 cup chopped orange bell pepper,,,,,,,,
Chop Chop Salad,1 cup chopped cucumber,,,,,,,,
Chop Chop Salad,"1 tomato, chopped",,,,,,,,
Chop Chop Salad,"2 green onions, chopped",,,,,,,,
Chop Chop Salad,1/4 cup chopped fresh cilantro,,,,,,,,
Healthy Turmeric Chicken Stew,2 tablespoons olive oil,,,,,,,,
Healthy Turmeric Chicken Stew,"2 skinless, boneless chicken breasts, cubed",,,,,,,,
Healthy Turmeric Chicken Stew,"2 sweet potatoes, cubed",,,,,,,,
Healthy Turmeric Chicken Stew,"1/2 red onion, chopped",,,,,,,,
Healthy Turmeric Chicken Stew,"1 small eggplant, cubed",,,,,,,,
Healthy Turmeric Chicken Stew,"2 cloves garlic, minced",,,,,,,,
Healthy Turmeric Chicken Stew,1 tablespoon minced fresh ginger root,,,,,,,,
Healthy Turmeric Chicken Stew,2 teaspoons ground turmeric,,,,,,,,
Healthy Turmeric Chicken Stew,1/2 cup low-sodium chicken broth,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,4 oranges,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,3 blood oranges,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,"1 small onion, finely diced",,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,3 tablespoons olive oil,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,2 tablespoons lemon juice,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,salt,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,1 pinch freshly ground black pepper,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,10 dried black olives,,,,,,,,
Acai Smoothie Bowl,"1 large banana, divided",,,,,,,,
Acai Smoothie Bowl,"3 1/2 ounces acai berry pulp, frozen, unsweetened",,,,,,,,
Acai Smoothie Bowl,"2 tablespoons soy milk, or more as needed",or,more,as,needed,,,,
Acai Smoothie Bowl,2 tablespoons granola,,,,,,,,
Orange Roasted Salmon,"2 oranges, sliced into rounds",rounds,,,,,,,
Orange Roasted Salmon,"1 onion, thinly sliced",,,,,,,,
Orange Roasted Salmon,1 1/2 tablespoons olive oil,oil,,,,,,,
Orange Roasted Salmon,5 (6 ounce) salmon fillets,fillets,,,,,,,
Orange Roasted Salmon,1 tablespoon lemon pepper,,,,,,,,
Orange Roasted Salmon,1 1/2 teaspoons garlic powder,powder,,,,,,,
Orange Roasted Salmon,1 tablespoon dried parsley,,,,,,,,
Orange Roasted Salmon,1/2 cup orange juice,,,,,,,,
Orange Roasted Salmon,1 1/2 tablespoons lemon juice,juice,,,,,,,
Orange Roasted Salmon,1 tablespoon honey,,,,,,,,
