	recipe_title	ingredient
0	b'Chop Chop Salad'	"b""b'1 red grapefruit'"""
1	b'Chop Chop Salad'	"b""b'1 cup peeled, chopped jicama'"""
2	b'Chop Chop Salad'	"b""b'1 cup chopped orange bell pepper'"""
3	b'Chop Chop Salad'	"b""b'1 cup chopped cucumber'"""
4	b'Chop Chop Salad'	"b""b'1 tomato, chopped'"""
5	b'Chop Chop Salad'	"b""b'2 green onions, chopped'"""
6	b'Chop Chop Salad'	"b""b'1/4 cup chopped fresh cilantro'"""
7	b'Healthy Turmeric Chicken Stew'	"b""b'2 tablespoons olive oil'"""
8	b'Healthy Turmeric Chicken Stew'	"b""b'2 skinless, boneless chicken breasts, cubed'"""
9	b'Healthy Turmeric Chicken Stew'	"b""b'2 sweet potatoes, cubed'"""
10	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 red onion, chopped'"""
11	b'Healthy Turmeric Chicken Stew'	"b""b'1 small eggplant, cubed'"""
12	b'Healthy Turmeric Chicken Stew'	"b""b'2 cloves garlic, minced'"""
13	b'Healthy Turmeric Chicken Stew'	"b""b'1 tablespoon minced fresh ginger root'"""
14	b'Healthy Turmeric Chicken Stew'	"b""b'2 teaspoons ground turmeric'"""
15	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 cup low-sodium chicken broth'"""
16	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'4 oranges'"""
17	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'3 blood oranges'"""
18	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'1 small onion, finely diced'"""
19	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'3 tablespoons olive oil'"""
20	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'2 tablespoons lemon juice'"""
21	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'salt'"""
22	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'1 pinch freshly ground black pepper'"""
23	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'10 dried black olives'"""
24	b'Acai Smoothie Bowl'	"b""b'1 large banana, divided'"""
25	b'Acai Smoothie Bowl'	"b""b'3 1/2 ounces acai berry pulp, frozen, unsweetened'"""
26	b'Acai Smoothie Bowl'	"b""b'2 tablespoons soy milk, or more as needed'"""
27	b'Acai Smoothie Bowl'	"b""b'2 tablespoons granola'"""
28	b'Orange Roasted Salmon'	"b""b'2 oranges, sliced into rounds'"""
29	b'Orange Roasted Salmon'	"b""b'1 onion, thinly sliced'"""
30	b'Orange Roasted Salmon'	"b""b'1 1/2 tablespoons olive oil'"""
31	b'Orange Roasted Salmon'	"b""b'5 (6 ounce) salmon fillets'"""
32	b'Orange Roasted Salmon'	"b""b'1 tablespoon lemon pepper'"""
33	b'Orange Roasted Salmon'	"b""b'1 1/2 teaspoons garlic powder'"""
34	b'Orange Roasted Salmon'	"b""b'1 tablespoon dried parsley'"""
35	b'Orange Roasted Salmon'	"b""b'1/2 cup orange juice'"""
36	b'Orange Roasted Salmon'	"b""b'1 1/2 tablespoons lemon juice'"""
37	b'Orange Roasted Salmon'	"b""b'1 tablespoon honey'"""
38	b'Quinoa with Asian Flavors'	"b""b'1 tablespoon extra-virgin olive oil'"""
39	b'Quinoa with Asian Flavors'	"b""b'1 cup quinoa'"""
40	b'Quinoa with Asian Flavors'	"b""b'2 cups chicken broth'"""
41	b'Quinoa with Asian Flavors'	"b""b'2 tablespoons soy sauce'"""
42	b'Quinoa with Asian Flavors'	"b""b'1 tablespoon minced fresh ginger root'"""
43	b'Quinoa with Asian Flavors'	"b""b'1 clove garlic, minced'"""
44	b'Quinoa with Asian Flavors'	"b""b'2 green onions, chopped'"""
45	b'Chop Chop Salad'	"b""b'1 red grapefruit'"""
46	b'Chop Chop Salad'	"b""b'1 cup peeled, chopped jicama'"""
47	b'Chop Chop Salad'	"b""b'1 cup chopped orange bell pepper'"""
48	b'Chop Chop Salad'	"b""b'1 cup chopped cucumber'"""
49	b'Chop Chop Salad'	"b""b'1 tomato, chopped'"""
50	b'Chop Chop Salad'	"b""b'2 green onions, chopped'"""
51	b'Chop Chop Salad'	"b""b'1/4 cup chopped fresh cilantro'"""
52	b'Healthy Turmeric Chicken Stew'	"b""b'2 tablespoons olive oil'"""
53	b'Healthy Turmeric Chicken Stew'	"b""b'2 skinless, boneless chicken breasts, cubed'"""
54	b'Healthy Turmeric Chicken Stew'	"b""b'2 sweet potatoes, cubed'"""
55	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 red onion, chopped'"""
56	b'Healthy Turmeric Chicken Stew'	"b""b'1 small eggplant, cubed'"""
57	b'Healthy Turmeric Chicken Stew'	"b""b'2 cloves garlic, minced'"""
58	b'Healthy Turmeric Chicken Stew'	"b""b'1 tablespoon minced fresh ginger root'"""
59	b'Healthy Turmeric Chicken Stew'	"b""b'2 teaspoons ground turmeric'"""
60	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 cup low-sodium chicken broth'"""
61	b'Chop Chop Salad'	"b""b'1 red grapefruit'"""
62	b'Chop Chop Salad'	"b""b'1 cup peeled, chopped jicama'"""
63	b'Chop Chop Salad'	"b""b'1 cup chopped orange bell pepper'"""
64	b'Chop Chop Salad'	"b""b'1 cup chopped cucumber'"""
65	b'Chop Chop Salad'	"b""b'1 tomato, chopped'"""
66	b'Chop Chop Salad'	"b""b'2 green onions, chopped'"""
67	b'Chop Chop Salad'	"b""b'1/4 cup chopped fresh cilantro'"""
68	b'Healthy Turmeric Chicken Stew'	"b""b'2 tablespoons olive oil'"""
69	b'Healthy Turmeric Chicken Stew'	"b""b'2 skinless, boneless chicken breasts, cubed'"""
70	b'Healthy Turmeric Chicken Stew'	"b""b'2 sweet potatoes, cubed'"""
71	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 red onion, chopped'"""
72	b'Healthy Turmeric Chicken Stew'	"b""b'1 small eggplant, cubed'"""
73	b'Healthy Turmeric Chicken Stew'	"b""b'2 cloves garlic, minced'"""
74	b'Healthy Turmeric Chicken Stew'	"b""b'1 tablespoon minced fresh ginger root'"""
75	b'Healthy Turmeric Chicken Stew'	"b""b'2 teaspoons ground turmeric'"""
76	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 cup low-sodium chicken broth'"""
77	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'4 oranges'"""
78	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'3 blood oranges'"""
79	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'1 small onion, finely diced'"""
80	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'3 tablespoons olive oil'"""
81	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'2 tablespoons lemon juice'"""
82	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'salt'"""
83	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'1 pinch freshly ground black pepper'"""
84	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'10 dried black olives'"""
85	b'Acai Smoothie Bowl'	"b""b'1 large banana, divided'"""
86	b'Acai Smoothie Bowl'	"b""b'3 1/2 ounces acai berry pulp, frozen, unsweetened'"""
87	b'Acai Smoothie Bowl'	"b""b'2 tablespoons soy milk, or more as needed'"""
88	b'Acai Smoothie Bowl'	"b""b'2 tablespoons granola'"""
89	b'Orange Roasted Salmon'	"b""b'2 oranges, sliced into rounds'"""
90	b'Orange Roasted Salmon'	"b""b'1 onion, thinly sliced'"""
91	b'Orange Roasted Salmon'	"b""b'1 1/2 tablespoons olive oil'"""
92	b'Orange Roasted Salmon'	"b""b'5 (6 ounce) salmon fillets'"""
93	b'Orange Roasted Salmon'	"b""b'1 tablespoon lemon pepper'"""
94	b'Orange Roasted Salmon'	"b""b'1 1/2 teaspoons garlic powder'"""
95	b'Orange Roasted Salmon'	"b""b'1 tablespoon dried parsley'"""
96	b'Orange Roasted Salmon'	"b""b'1/2 cup orange juice'"""
97	b'Orange Roasted Salmon'	"b""b'1 1/2 tablespoons lemon juice'"""
98	b'Orange Roasted Salmon'	"b""b'1 tablespoon honey'"""
99	b'Quinoa with Asian Flavors'	"b""b'1 tablespoon extra-virgin olive oil'"""
